YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2013,197080,812,1000000,1007549,NULL,110,2,20,NULL,2,1300,1,1,NULL,NULL,NULL,169000,9,NULL,NULL,NULL,NULL,1,4,33000,1,4,58,1597,28,NULL,?
2013,198528,812,1000000,1007549,NULL,70,2,40,NULL,1,860,1,1,NULL,NULL,NULL,155000,4,3,90800,NULL,NULL,1,1,90800,1,7,14,1047,13,7,?
2013,200745,812,1000000,1007549,NULL,60,2,50,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,260000,2,NULL,NULL,NULL,NULL,1,6,53100,1,6,7,317,24,NULL,?
2013,201760,812,1000000,1007549,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,1,7,2000,30,9,1,3,3800,1,3,NULL,NULL,NULL,13,?
2013,204486,812,1000000,1007549,NULL,250,2,2,NULL,1,800,1,1,NULL,NULL,NULL,100000,5,7,30000,NULL,NULL,2,3,30000,1,4,44,1108,10,13,?
2013,206232,812,1000000,1007549,NULL,30,2,20,NULL,1,800,1,1,NULL,200,NULL,100000,6,NULL,NULL,NULL,NULL,1,4,33000,1,4,38,1052,20,NULL,?
2013,206853,812,1000000,1007549,NULL,260,2,2,NULL,1,1500,1,1,NULL,430,NULL,400000,1,1,68400,NULL,NULL,2,1,68400,1,6,40,2260,31,1,?
2013,207148,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,215426,812,1000000,1007549,NULL,50,2,20,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,176000,3,NULL,NULL,NULL,NULL,1,6,13900,1,7,23,262,18,NULL,?
2013,216188,812,1000000,1007549,NULL,150,2,70,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,210000,3,NULL,NULL,NULL,NULL,1,6,47200,1,7,12,475,26,NULL,?
2013,218087,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,222872,812,1000000,1007549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,1,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,226481,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,228438,812,1000000,1007549,NULL,90,2,120,NULL,1,1100,1,1,NULL,NULL,NULL,350000,3,1,181400,NULL,NULL,1,1,181400,1,2,9,1314,28,1,?
2013,229680,812,1000000,1007549,NULL,70,2,10,NULL,1,1400,1,1,NULL,NULL,NULL,350000,1,1,120000,NULL,NULL,1,1,120000,1,4,15,1483,62,1,?
2013,231073,812,1000000,1007549,NULL,90,2,2,NULL,2,910,2,1,NULL,NULL,NULL,500000,1,4,78000,NULL,NULL,2,1,78000,1,6,19,1216,25,9,?
2013,234903,812,1000000,1007549,NULL,170,2,170,NULL,NULL,NULL,NULL,NULL,1300,NULL,NULL,NULL,8,7,60000,1700,34,1,3,60000,1,3,NULL,NULL,NULL,13,?
2013,237207,812,1000000,1007549,NULL,180,2,2,NULL,1,1300,1,1,NULL,NULL,NULL,330000,1,1,157000,NULL,NULL,1,1,157000,1,3,12,1515,32,1,?
2013,238974,812,1000000,1007549,NULL,200,2,60,NULL,1,1100,1,1,NULL,NULL,NULL,185000,3,2,37500,NULL,NULL,2,1,37500,1,3,46,1427,24,3,?
2013,240397,812,1000000,1007549,NULL,180,2,2,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,6,1,80000,1505,23,2,1,80000,1,2,NULL,NULL,NULL,1,?
2013,241595,812,1000000,1007549,NULL,150,2,160,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,80000,3,NULL,NULL,NULL,NULL,1,4,6000,1,7,101,555,18,NULL,?
2013,245828,812,1000000,1007549,NULL,80,1,130,NULL,1,550,1,1,NULL,NULL,NULL,85000,2,8,19200,NULL,NULL,1,3,19200,1,6,49,790,18,15,?
2013,247019,812,1000000,1007549,NULL,190,2,60,NULL,1,1300,1,1,NULL,NULL,NULL,360000,2,NULL,NULL,NULL,NULL,1,5,136600,1,5,14,1608,26,NULL,?
2013,247620,812,1000000,1007549,NULL,220,2,100,NULL,1,2600,1,1,NULL,320,NULL,750000,1,1,75640,NULL,NULL,1,1,75640,1,7,52,3300,54,1,?
2013,251180,812,1000000,1007549,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,252580,812,1000000,1007549,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,252951,812,1000000,1007549,NULL,170,2,2,NULL,2,1200,1,1,NULL,NULL,NULL,180000,3,1,76000,NULL,NULL,1,1,76000,1,3,22,1412,17,1,?
2013,254825,812,1000000,1007549,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,900,NULL,NULL,NULL,7,NULL,NULL,900,25,2,6,43000,1,3,NULL,NULL,NULL,NULL,?
2013,255328,812,1000000,1007549,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,255762,812,1000000,1007549,NULL,360,1,2,NULL,NULL,NULL,NULL,NULL,1400,NULL,NULL,NULL,6,7,20000,1885,101,1,3,20000,1,1,NULL,NULL,NULL,13,?
2013,260949,812,1000000,1007549,180,60,2,2,NULL,2,1300,2,1,NULL,NULL,NULL,265000,8,1,112000,NULL,NULL,1,1,112000,1,3,19,1757,38,2,?
2013,261050,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,264085,812,1000000,1007549,NULL,20,2,20,NULL,NULL,NULL,NULL,NULL,750,NULL,NULL,NULL,1,NULL,NULL,810,35,1,6,28000,1,1,NULL,NULL,NULL,NULL,?
2013,264854,812,1000000,1007549,NULL,300,2,2,NULL,1,1100,1,1,NULL,NULL,NULL,150000,8,1,60000,NULL,NULL,1,1,60000,1,5,31,1558,20,4,?
2013,266161,812,1000000,1007549,180,140,2,2,NULL,1,1700,1,1,NULL,NULL,NULL,285000,10,NULL,NULL,NULL,NULL,1,4,78004,1,4,31,2020,42,NULL,?
2013,267612,812,1000000,1007549,NULL,70,2,3,NULL,NULL,NULL,NULL,NULL,210,NULL,NULL,NULL,12,NULL,NULL,280,43,2,6,7800,1,3,NULL,NULL,NULL,NULL,?
2013,269265,812,1000000,1007549,NULL,10,2,20,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,1,7,16850,1255,89,4,3,16850,2,1,NULL,NULL,NULL,13,?
2013,271617,812,1000000,1007549,NULL,1,2,3,NULL,NULL,NULL,NULL,NULL,410,NULL,NULL,NULL,4,NULL,NULL,410,31,1,6,16100,1,2,NULL,NULL,NULL,NULL,?
